epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse
0,1.2375906455033823e-07,1.2375906455033823e-07,388022.25,6.568033179363281
1,7.31101927183841e-08,1.968692572687223e-07,348973.484375,6.049302356472786
2,6.724263643605648e-08,2.641118937047788e-07,277312.984375,5.522666186044923
3,7.019291101136539e-08,3.3430480471614415e-07,213119.3515625,4.983532242380889
4,6.649020094329043e-08,4.0079500565943455e-07,150920.1015625,4.436950307097545
5,1.0708236629456543e-07,5.07877371954e-07,112019.4765625,3.892920662862716
6,9.800551275930024e-08,6.058828847133003e-07,69797.720703125,3.372507514867038
7,6.454574865871968e-08,6.704286333720199e-07,42268.22265625,2.9015400602438555
8,6.839511276825436e-08,7.388237461402742e-07,34562.5224609375,2.5018547034168157
9,1.3865299054451794e-07,8.774767366847922e-07,27607.4951171875,2.188881223901962
10,1.0055988497844582e-07,9.78036621663238e-07,29013.7568359375,1.9660050047379518
11,5.164836351722457e-07,1.4945202568354837e-06,31185.2666015625,1.8270471860688802
12,1.2686815508561097e-07,1.6213884119210946e-06,32568.0419921875,1.7589657042328477
13,6.186586627205865e-08,1.6832542781931532e-06,30597.3955078125,1.748789112660154
14,5.775147039241788e-08,1.741005748585571e-06,26000.1591796875,1.781894757466884
15,6.00683797195544e-08,1.8010741283051254e-06,26292.2099609375,1.848013453118185
16,6.657368650703781e-08,1.8676478148121633e-06,25097.166015625,1.933028691359828
17,7.413946281383873e-08,1.941787277626002e-06,23520.7841796875,2.026043750460235
18,6.314589900507842e-08,2.0049331766310803e-06,21768.623046875,2.1205064184087123
19,6.078402150185877e-08,2.065717198132939e-06,20336.1162109375,2.2045760609781198
20,5.261505134372902e-08,2.1183322494766683e-06,21603.0537109375,2.2652069714065037
21,9.349770402422904e-08,2.2118299535008974e-06,20928.130859375,2.306584164653884
22,6.48785113798132e-08,2.2767084648807105e-06,18994.1474609375,2.3346765806157164
23,7.045883969645776e-08,2.3471673045771684e-06,18340.4609375,2.3513118192876625
24,7.620678446952074e-08,2.423374089046689e-06,17397.40869140625,2.359325757977956
25,5.4518935421991764e-08,2.477893024468681e-06,18403.947265625,2.3573077210911983
26,1.0906462478692608e-07,2.586957649255607e-06,18808.078125,2.344931898678467
27,1.088102421466941e-09,2.5880457516770738e-06,16459.61767578125,2.3289495157250344
28,6.541399755472793e-08,2.6534597492318017e-06,16910.7177734375,2.3119620757620227
29,6.299150922282973e-08,2.7164512584546316e-06,16364.72802734375,2.295108544322521
30,6.248025114621737e-08,2.7789315096008488e-06,16741.5703125,2.2852096771346155
31,8.296209004877647e-08,2.8618935996496254e-06,16527.12109375,2.2850827974777665
32,5.653054534589633e-08,2.918424144995522e-06,14055.1484375,2.2838551799087643
33,7.411998569956257e-08,2.9925441306950845e-06,14493.36376953125,2.2855570988310943
34,8.892456142507237e-08,3.0814686921201567e-06,14988.20751953125,2.2889202255892322
35,5.645818637270838e-08,3.137926878492865e-06,14929.7900390625,2.2939802092302037
36,5.806241875783966e-08,3.195989297250705e-06,14295.95654296875,2.3003453392814865
37,9.87091909843412e-08,3.294698488235046e-06,13619.89794921875,2.309225362426308
38,5.8372894689833335e-08,3.3530713829248794e-06,13130.34130859375,2.3236905487411526
39,6.091112525441681e-08,3.413982508179296e-06,12980.38134765625,2.332709978651299
40,6.239673601434638e-08,3.4763792441936423e-06,12825.3359375,2.3331505568850037
41,7.456886291686209e-08,3.5509481071105042e-06,11978.9560546875,2.3277259532429793
42,7.493095743311495e-08,3.625879064543619e-06,11504.10693359375,2.321040427610312
43,7.274557245720351e-08,3.698624637000823e-06,12033.673828125,2.3207010214834156
44,8.39185862891518e-08,3.7825432232899745e-06,12009.4619140625,2.3213787378167527
45,6.752629799115332e-08,3.850069521281128e-06,10320.439453125,2.3208681840816774
46,5.736907088391048e-08,3.907438592165039e-06,11690.7353515625,2.323735846879663
47,6.348810079156184e-08,3.9709266929566e-06,10911.0322265625,2.3205942297015887
48,7.202629596879343e-08,4.042952988925394e-06,11251.5029296875,2.316601489975498
49,1.954458452644447e-07,4.2383988341898385e-06,10658.869140625,2.313673806852951
