epoch,train_loss,test_rmse
0,228208.30603678038,1.1405133734535051
1,187281.75939498935,1.0841359572185334
2,177947.31559834754,1.055602084175659
3,170409.20638992538,1.0401020200680462
4,164665.7764858742,1.0202630819543304
5,159488.6935967484,1.0044505159689614
6,154892.6796042111,0.9800110803207814
7,150268.3125999467,0.9622097000786486
8,147002.63551106077,0.9404187875581292
9,143132.2070062633,0.9136648612696396
10,139851.74376998935,0.9004277836386937
11,137780.41984275053,0.8841341058947937
12,134658.6206190032,0.8772235067039497
13,132110.3545275853,0.8662203304780328
14,129069.09741471216,0.851833600224758
15,126617.98642390725,0.8435865131499326
16,125078.4110141258,0.8339220890674184
17,123204.93631729744,0.829109220129907
18,122713.93458488806,0.8217031448807869
19,121748.51540844883,0.819430692511768
20,121076.93057036247,0.8128872555707444
21,120473.95305836888,0.8121446044846352
22,120610.5894689499,0.8101240237273624
23,119806.7387559968,0.8101912155188387
24,119814.27986740405,0.8072809349329585
25,118879.19078158315,0.8065807777837329
26,118004.73963885928,0.8078863428635693
27,118554.30113939232,0.8078533848086122
28,118357.15505063966,0.8046675340798045
29,117098.84518256929,0.7993591893503309
30,117088.56205023987,0.8033915060511713
31,116717.95057635928,0.8062350833912149
32,117436.81155050639,0.8027612770894993
33,117146.55513726013,0.8046518835319358
34,116165.23467484009,0.8004690751334799
35,116200.6641624467,0.801597387896315
36,116262.24040511728,0.8021470006672017
37,116008.77493670043,0.805236364274725
38,115936.46711753731,0.8047470585899977
39,116497.18668376865,0.8043410170569005
40,115753.08105676972,0.8074802449516407
41,116306.83738672709,0.801141925866026
42,116112.95154251067,0.8020046453262248
43,116538.45454091151,0.8001064562653223
44,115582.49558568763,0.7993062311521759
45,115509.20032649254,0.7978085990993722
46,115989.94351345948,0.7991763854421734
47,115652.30893523454,0.8024414887952586
48,115377.20464085821,0.7943979749543647
49,115809.25279850746,0.7990731645749363
