epoch,epoch_emissions_kg,cumulative_emissions_kg,rmse
0,0.00031108494410124043,0.00031108494410124043,1.389154314994812
1,0.00030004172346990174,0.0006111266675711422,0.9788453578948975
2,0.00031160964820596695,0.0009227363157771091,0.9257832169532776
3,0.00033009710291613043,0.0012528334186932394,0.9098087549209595
4,0.0003063939057481463,0.0015592273244413857,0.9030534625053406
5,0.00030349610934643506,0.0018627234337878207,0.8989766836166382
6,0.00030034309515460165,0.0021630665289424224,0.8938339352607727
7,0.00030309041172395793,0.0024661569406663805,0.8898521661758423
8,0.0003030014466039708,0.002769158387270351,0.8876163363456726
9,0.0003003378276916307,0.003069496214961982,0.8851685523986816
10,0.00030205170818059296,0.003371547923142575,0.8807045817375183
11,0.0003183211480642458,0.0036898690712068205,0.8785315752029419
12,0.0003015637863132132,0.003991432857520034,0.8765484094619751
13,0.0003027748510541622,0.004294207708574196,0.8736175894737244
14,0.00030169517068624974,0.004595902879260446,0.8711718916893005
15,0.00029992314333048464,0.004895826022590931,0.8695617318153381
16,0.0003091999198891959,0.005205025942480126,0.866975724697113
17,0.0003041617299925445,0.005509187672472671,0.8656853437423706
18,0.00030113218318761917,0.0058103198556602904,0.8638426661491394
19,0.00029836335487785654,0.006108683210538147,0.8633176684379578
20,0.0003195646116425714,0.006428247822180718,0.8616961240768433
21,0.00030103083897247584,0.006729278661153194,0.8610653281211853
22,0.0003023266810244751,0.007031605342177669,0.8600296378135681
23,0.0003073247803470983,0.007338930122524767,0.8605254292488098
24,0.0003002069143621178,0.007639137036886885,0.8599480390548706
25,0.0003054772640541338,0.00794461430094102,0.8604574203491211
26,0.00030226679830939443,0.008246881099250414,0.861332893371582
27,0.0003015920222562748,0.00854847312150669,0.8610749244689941
28,0.016821982496076228,0.025370455617582915,0.8630979657173157
29,0.0003106215973365119,0.025681077214919426,0.863368809223175
30,0.00031923507387048,0.026000312288789906,0.865365743637085
31,0.000308635024898881,0.026308947313688786,0.8668099045753479
32,0.00031152746942012894,0.026620474783108916,0.8687950968742371
33,0.0003086385401125052,0.026929113323221423,0.8714607954025269
34,0.00031760377528971894,0.02724671709851114,0.8737163543701172
35,0.0003061739358067094,0.02755289103431785,0.8756266236305237
36,0.0003119674580830396,0.02786485849240089,0.8789272904396057
37,0.00030453693007988675,0.028169395422480776,0.8813827633857727
38,0.0003088979478931912,0.028478293370373966,0.8843779563903809
39,0.00030298004115508363,0.02878127341152905,0.8870701789855957
40,0.0002990320163498242,0.029080305427878875,0.8901868462562561
41,0.00030376440810513425,0.02938406983598401,0.8927271366119385
42,0.00030332534938229085,0.0296873951853663,0.895741879940033
43,0.00030037293618003104,0.02998776812154633,0.8981299996376038
44,0.000300693224255393,0.030288461345801723,0.9000258445739746
45,0.0003028420604308851,0.030591303406232607,0.9023939967155457
46,0.000304530649660816,0.030895834055893422,0.9048674702644348
47,0.00030456100486071395,0.031200395060754137,0.907528817653656
48,0.00029984933011351626,0.031500244390867654,0.9092666506767273
49,0.00030038928695076146,0.031800633677818414,0.9114459156990051
