epoch,epoch_emissions_kg,cumulative_emissions_kg,rmse,mae
0,3.4771747153864315e-06,3.4771747153864315e-06,3.7758536338806152,3.388246774673462
1,4.1821454826137785e-06,7.65932019800021e-06,3.679307699203491,3.2923989295959473
2,4.156184834122051e-06,1.181550503212226e-05,3.033459186553955,2.645534038543701
3,4.097958193115584e-06,1.5913463225237846e-05,1.9699941873550415,1.539264440536499
4,4.106191173576299e-06,2.0019654398814145e-05,1.692168116569519,1.193090796470642
5,4.057189485902755e-06,2.4076843884716898e-05,1.640718698501587,1.1340423822402954
6,3.954143601776678e-06,2.8030987486493577e-05,1.606302261352539,1.108802080154419
7,3.994051220525126e-06,3.20250387070187e-05,1.5615895986557007,1.078077793121338
8,4.172763114922744e-06,3.619780182194145e-05,1.510394811630249,1.0451371669769287
9,4.081061266051035e-06,4.027886308799248e-05,1.464331030845642,1.0168378353118896
10,4.029820517643268e-06,4.430868360563575e-05,1.4319963455200195,0.998522937297821
11,4.038632813303565e-06,4.834731641893932e-05,1.4116227626800537,0.9869222640991211
12,4.004102983572801e-06,5.235141940251212e-05,1.3987988233566284,0.9796198010444641
13,3.999674890390793e-06,5.635109429290291e-05,1.3902966976165771,0.9750856757164001
14,4.0901460521730435e-06,6.0441240345075954e-05,1.3842483758926392,0.9724065661430359
15,4.087844862999744e-06,6.45290852080757e-05,1.381125569343567,0.9716637134552002
16,4.066034493345005e-06,6.85951197014207e-05,1.3795106410980225,0.9720348119735718
17,4.197671258896677e-06,7.279279096031737e-05,1.3784339427947998,0.9719915390014648
18,3.9907477628170006e-06,7.678353872313438e-05,1.3792834281921387,0.974236249923706
19,3.981126740461123e-06,8.07646654635955e-05,1.3800104856491089,0.975494921207428
20,4.130241078609416e-06,8.489490654220491e-05,1.3824238777160645,0.9779388904571533
21,4.121648730142453e-06,8.901655527234737e-05,1.3848966360092163,0.9812970757484436
22,4.166109342923616e-06,9.318266461527098e-05,1.3881243467330933,0.9841749668121338
23,4.209849381163685e-06,9.739251399643467e-05,1.391111969947815,0.98702073097229
24,3.972844403156543e-06,0.00010136535839959122,1.3957337141036987,0.991615891456604
25,4.137747442695625e-06,0.00010550310584228685,1.3994746208190918,0.9949294328689575
26,4.164094518235403e-06,0.00010966720036052225,1.403645634651184,0.9980303645133972
27,4.010536783361038e-06,0.00011367773714388329,1.4079028367996216,1.002197265625
28,4.03730314597071e-06,0.00011771504028985401,1.4128175973892212,1.0063294172286987
29,4.003798666257351e-06,0.00012171883895611136,1.417403221130371,1.0102238655090332
30,3.969500533723818e-06,0.00012568833948983516,1.423086166381836,1.0153335332870483
31,3.9780802858162954e-06,0.00012966641977565146,1.4270827770233154,1.0183777809143066
32,4.8165702035819466e-06,0.00013448298997923341,1.4324129819869995,1.0230038166046143
33,4.909445056535916e-06,0.00013939243503576933,1.4367876052856445,1.0262515544891357
34,4.991537860859283e-06,0.00014438397289662862,1.4417105913162231,1.0300053358078003
35,4.141704035180585e-06,0.0001485256769318092,1.4477672576904297,1.0350428819656372
36,4.1592454072746005e-06,0.00015268492233908382,1.4528130292892456,1.039481520652771
37,4.117613287045804e-06,0.00015680253562612963,1.457536220550537,1.0429726839065552
38,4.081264177619064e-06,0.00016088379980374869,1.4626926183700562,1.046848177909851
39,4.220056168383658e-06,0.00016510385597213233,1.467725157737732,1.050924301147461
40,4.074642203925998e-06,0.00016917849817605832,1.4729100465774536,1.0550730228424072
41,4.033090899493727e-06,0.00017321158907555206,1.4779466390609741,1.0591689348220825
42,4.076929778175857e-06,0.00017728851885372791,1.4838677644729614,1.0637308359146118
43,4.0037197681617376e-06,0.00018129223862188966,1.4882100820541382,1.0673320293426514
44,4.155135782585466e-06,0.00018544737440447513,1.49342679977417,1.0710712671279907
45,3.939363357424831e-06,0.00018938673776189996,1.4986625909805298,1.0749261379241943
46,4.238782287010399e-06,0.00019362552004891035,1.5031768083572388,1.0787293910980225
47,4.115756802847085e-06,0.00019774127685175742,1.5083006620407104,1.0831409692764282
48,4.299764779946557e-06,0.00020204104163170397,1.5130261182785034,1.0867090225219727
49,4.0377954907169465e-06,0.00020607883712242092,1.5179425477981567,1.0904593467712402
