epoch,train_loss,model_rmse,combined_rmse,model_recall,combined_recall,model_ndcg,combined_ndcg
1,192.05292228669424,1.1742657418992237,3.2879440773178263,0.22666666666666666,0.30166666666666664,0.10758245569362186,0.1529693076163787
2,153.95862322427553,1.2962906225996067,3.629613743278899,0.17166666666666663,0.38299999999999995,0.11040258320720234,0.2482491198017407
3,144.87771566393434,1.392669245211879,3.899473886593261,0.364,0.4133333333333333,0.22003691684180468,0.22370859415872194
4,141.7290396891849,1.4554286159081593,4.075200124542846,0.33333333333333326,0.3133333333333333,0.1536460562262142,0.21189283315970064
5,139.5064585022676,1.490701528335958,4.173964279340682,0.3633333333333333,0.4108333333333333,0.1563103408820377,0.22214005788728433
6,124.11691435595328,1.464529185500427,4.100681719401196,0.29666666666666663,0.45899999999999996,0.14436225962017687,0.242732372930348
7,86.1220772092382,1.3321020349289399,3.7298856978010315,0.23,0.44166666666666665,0.13628778343441525,0.2804743113991976
8,72.53928112953176,1.2415069724516867,3.4762195228647226,0.24166666666666667,0.3546666666666667,0.11404120927154368,0.253602038270309
9,66.70241926146836,1.1739826376315132,3.287151385368237,0.26,0.5233333333333333,0.12437021249284949,0.33632325968460697
10,63.87010982674612,1.1482983177099013,3.215235289585462,0.10666666666666667,0.395,0.06886863776752968,0.275699733986014
11,61.62867130665407,1.12170874047562,3.1407844733340275,0.07333333333333332,0.2766666666666666,0.047378419968544846,0.18554004893094622
12,59.3548935464036,1.1151152783192995,3.1223227792765167,0.18733333333333335,0.2791666666666667,0.08392490242147148,0.18273161269380328
13,57.89345931029961,1.105268380639274,3.094751465777146,0.10400000000000001,0.295,0.04435247751042709,0.19196977247377553
14,56.75659164057498,1.1134898229464985,3.1177715042149674,0.08666666666666666,0.4133333333333333,0.042331329605746426,0.272198195566445
15,55.73852508779372,1.126259921746105,3.1535277808869604,0.15,0.31066666666666665,0.06455668023227924,0.19797242775679752
16,54.48461353336192,1.1239006314941686,3.1469217681737742,0.13233333333333333,0.3696666666666667,0.06946015798494995,0.25529417321545345
17,52.82128191177427,1.1519662852356014,3.225505598654964,0.14066666666666666,0.38915151515151514,0.06693639067581937,0.2375913738632683
18,51.002692399653824,1.1826409018809716,3.3113945252663086,0.19333333333333336,0.38666666666666666,0.09564361768957226,0.2626326779428584
19,48.79808837656175,1.1983718310463947,3.3554411269184854,0.11666666666666665,0.30333333333333334,0.062000815137651495,0.18376256475345581
20,47.427829835234775,1.2098726179130657,3.387643330155802,0.14333333333333334,0.37,0.08263138511362834,0.23148420126129202
21,45.72262154651207,1.2371691693816216,3.464073674255651,0.09899999999999999,0.3440000000000001,0.07098441454790129,0.2502456174731226
22,43.5805615218745,1.2405264296512375,3.4734740030003883,0.15333333333333332,0.28700000000000003,0.09172744092569865,0.215827738023477
23,41.44761533163268,1.2269826910033266,3.435551534797237,0.05,0.30333333333333334,0.028000618758937473,0.18486960985034032
24,39.311432915368854,1.1709374559083907,3.2786248765170067,0.12233333333333335,0.4346666666666667,0.07165741170013537,0.28869726198963636
25,37.153193963474564,1.0861047881777504,3.0410934068398983,0.07,0.3583333333333333,0.046539746503928676,0.1778697815354429
26,35.35130992405851,1.0334235251920687,2.89358587053581,0.08666666666666668,0.5233333333333333,0.03738849190871751,0.3599586100292035
27,33.59181173571246,0.9830553749171548,2.7525550496524955,0.114,0.31666666666666665,0.06210867282979916,0.19389911591242082
28,31.631642511345817,0.9469507237937035,2.6514620266630975,0.08666666666666668,0.4933333333333333,0.053842677784024795,0.2747206471452093
29,30.07140215533033,0.9201240259040052,2.576347272577662,0.08,0.3733333333333333,0.0337460423091742,0.2489198372724708
30,28.50522993041367,0.9235657248362751,2.58598402952446,0.125,0.375,0.04893370571491106,0.21518437364708481
31,27.28206017136421,0.9068887248335876,2.5392884294390967,0.05,0.33799999999999997,0.020388748649642907,0.21969929275827405
32,26.141842494090298,0.8977950534499202,2.5138261497496974,0.06333333333333334,0.4333333333333333,0.025603852374687052,0.25697449223788393
33,25.162370200651708,0.8967086700469563,2.510784276145456,0.065,0.43,0.046032266636415374,0.25654685058098037
34,24.338348256793736,0.8804111604915916,2.465151249313595,0.04666666666666666,0.5199999999999999,0.02631939517810754,0.2955564590661563
35,23.52978502681405,0.8847825548813808,2.4773911536749784,0.1383333333333333,0.32666666666666666,0.06921656103894637,0.21384402290529664
36,22.9616352525777,0.8818279252938714,2.469118190925541,0.03,0.44,0.024368148736363282,0.2988163138147258
37,22.289488241706096,0.875672893188724,2.451884101023424,0.04,0.26166666666666666,0.01839989159778691,0.19943070116119097
38,21.943513010589168,0.8761932063316691,2.4533409777747677,0.03833333333333333,0.4066666666666666,0.018985819449543275,0.25820706717221126
39,21.658185966188867,0.8777787872081141,2.4577806042187813,0.025,0.32733333333333337,0.019788021700910603,0.19838723410420622
40,21.2934743756674,0.8781398480381418,2.4587915744355886,0.02,0.37,0.0060205999132796235,0.25076095083720124
41,20.98181585099419,0.8709253101140767,2.4385908682874127,0.02,0.4302380952380952,0.0060205999132796235,0.26206947408984493
42,20.786500461886085,0.8677367484622934,2.429662895751998,0.06,0.503,0.03343344127787502,0.3213274688311498
43,20.535499074547605,0.8726098036294601,2.443307450260941,0.025,0.4173809523809524,0.013020392364556104,0.27513132643087373
44,20.434298235689326,0.8671385015496328,2.4279878045550247,0.03,0.37666666666666665,0.01099267181450586,0.24145450037877592
45,20.230489213091158,0.8703696443637763,2.4370350043091213,0.04,0.44066666666666665,0.014750105653483931,0.28767029155208856
46,20.09073989125739,0.8602377397361576,2.4086656712730776,0.05,0.38,0.023868528072345418,0.24318801852848446
47,19.970978261871924,0.8590142416364969,2.4052398767210583,0.02,0.4216666666666667,0.007737056144690832,0.26566327708920673
48,19.845238308289904,0.8657712013937074,2.4241593637799563,0.03333333333333333,0.38333333333333336,0.013210720922329937,0.2189873366588165
49,19.786532962520663,0.8589313886046951,2.405007888101327,0.02,0.3853333333333333,0.005781296526357758,0.27303557872663087
50,19.679107016393683,0.8589560153551847,2.4050768429179077,0.02,0.38,0.006666666666666666,0.24759333122611524
