epoch,epoch_emissions_kg,cumulative_emissions_kg,loss,rmse,mae
0,1.422872820609449e-06,1.422872820609449e-06,94.32591000975088,4.8816162212672385,3.939145603122654
1,1.3408569760091496e-06,2.7637297966185987e-06,10.998006771832355,2.324973460000284,1.762402332470692
2,1.3845916914955779e-06,4.148321488114176e-06,3.752822644670969,1.7714220965545817,1.2860308116014902
3,1.4263616825296147e-06,5.574683170643791e-06,2.713276903997124,1.6462311943928432,1.1776375470741927
4,1.513343508873493e-06,7.0880266795172835e-06,2.4790383376032508,1.607106998622652,1.1466491184600316
5,1.6120413834369746e-06,8.700068062954257e-06,2.3824381636177634,1.5899223999174437,1.1335541631531623
6,1.5642507309497213e-06,1.0264318793903978e-05,2.3259320718285244,1.5785832218169062,1.125455795432602
7,1.628020715942277e-06,1.1892339509846256e-05,2.2863393574679423,1.5753503275019465,1.1229103150062623
8,1.7312717380597286e-06,1.3623611247905984e-05,2.2535813526493755,1.5692066113446808,1.1194153480591469
9,1.534971681207096e-06,1.515858292911308e-05,2.2221789205862854,1.5661338804769604,1.1163324882593681
10,1.6336459330956156e-06,1.6792228862208696e-05,2.196834075943684,1.5634894825312815,1.1139561770115969
11,1.8403344253468344e-06,1.863256328755553e-05,2.1685104048834942,1.563141304149946,1.1120307398932887
12,1.5942153259705144e-06,2.0226778613526042e-05,2.146396697950616,1.5585256974799855,1.1124832248489476
13,1.687296002332055e-06,2.1914074615858096e-05,2.123458518295584,1.5601425059697447,1.1132837652857184
14,1.6528703413492012e-06,2.35669449572073e-05,2.098199168662508,1.5533126134461364,1.10776725939995
15,1.6387380232394635e-06,2.520568298044676e-05,2.0747198345223894,1.5513591518035568,1.10758594875111
16,1.7376135808281458e-06,2.6943296561274906e-05,2.0525426418334427,1.549554401730639,1.1060818628781275
17,1.66734772626517e-06,2.8610644287540076e-05,2.0279027815385793,1.5483471724835816,1.1058048198062846
18,1.7294251543622056e-06,3.0340069441902282e-05,2.0030009153899084,1.543736468698121,1.1015687868043824
19,1.5823507857597303e-06,3.192242022766201e-05,1.9780961738959353,1.5423537905942146,1.1029442603661355
20,1.6071599195684424e-06,3.352958014723045e-05,1.9521193691906482,1.5403089316136178,1.102350783353591
21,1.4772278316163565e-06,3.500680797884681e-05,1.926740541529067,1.5359726220100522,1.0976723483925632
22,1.5516344243346441e-06,3.6558442403181456e-05,1.899275249133389,1.5318811893612747,1.094400897150531
23,1.485721019143768e-06,3.804416342232522e-05,1.8749557838798592,1.5303764653651506,1.0950567297033362
24,1.544575011153612e-06,3.9588738433478835e-05,1.847964128930614,1.5270093194586327,1.0907353045841814
25,1.5350426974829688e-06,4.1123781130961806e-05,1.8181978785023305,1.5231234280866641,1.090037379063258
26,1.5181244821395165e-06,4.264190561310132e-05,1.7901358169445778,1.522459420168221,1.09082119792569
27,1.5438221153349312e-06,4.418572772843625e-05,1.7625726732877085,1.5173906214691362,1.0861339164622856
28,1.5222451502029494e-06,4.57079728786392e-05,1.7306664801129685,1.5136503002513335,1.0822405114794031
29,1.5325119601315992e-06,4.7240484838770804e-05,1.7029302707518856,1.5115158559640773,1.081632773191611
30,1.5133979867413413e-06,4.875388282551214e-05,1.6743026315827898,1.5077513815086299,1.0795902187869961
31,1.5829906009427336e-06,5.0336873426454874e-05,1.6419332655817884,1.51056114022689,1.0827387100610977
32,1.5367601357743153e-06,5.187363356222919e-05,1.617842127513783,1.5008421108089067,1.0757581809949974
33,1.5328890709704146e-06,5.3406522633199606e-05,1.5879155855835112,1.501779104558271,1.0768034803038464
34,1.4598842191854513e-06,5.486640685238506e-05,1.5611241233892854,1.502107864267232,1.0761944033031678
35,1.5367063913293711e-06,5.640311324371443e-05,1.5346482535046562,1.5014244933297607,1.075769629492774
36,1.5138121948810513e-06,5.791692543859548e-05,1.5097268808683733,1.5007533668214936,1.076319559211405
37,1.5487684313281885e-06,5.946569386992367e-05,1.4794813493021293,1.5020904714758165,1.0764978223321728
38,1.6050660535401733e-06,6.107075992346385e-05,1.459856122329768,1.5005080590102828,1.0752476780980198
39,1.4991798967064855e-06,6.256993982017033e-05,1.4369747211358728,1.4978092886360932,1.0753528823200453
40,1.5602391707569869e-06,6.413017899092732e-05,1.4120934953626678,1.5019464062721926,1.0788986928635367
41,1.5390292294186948e-06,6.5669208220346e-05,1.39060616551605,1.4999372631760761,1.07584471091246
42,1.5804984830756841e-06,6.724970670342169e-05,1.364349140723707,1.5031893533365108,1.081084175841256
43,1.4630856048357097e-06,6.87127923082574e-05,1.3426262517994794,1.506209315968891,1.0847651385798358
44,1.5937533115323003e-06,7.03065456197897e-05,1.3253495474915507,1.5052404947075382,1.0823946291261966
45,1.5056143880314301e-06,7.181216000782113e-05,1.2973858767134407,1.5087374926364,1.08685833566815
46,1.5929531419496971e-06,7.340511314977082e-05,1.2829337256877174,1.5103930882168646,1.0897036151705342
47,1.5149349125913962e-06,7.492004806236222e-05,1.2609789649166792,1.5076643721479561,1.0872930148259738
48,1.5733979602816277e-06,7.649344602264384e-05,1.2386436709649506,1.5108046136884314,1.090760230445289
49,1.5359695006242102e-06,7.802941552326805e-05,1.217060827895269,1.5154499973609463,1.0955810976898623
