epoch,memory_usage_mb,cpu_usage_percent,epoch_time_sec,train_rmse,valid_rmse
0,365.02734375,14.5,42.92606544494629,"tf.Tensor(0.91292965, shape=(), dtype=float32)","tf.Tensor(0.91914976, shape=(), dtype=float32)"
1,434.64453125,22.0,42.74778151512146,"tf.Tensor(0.8980099, shape=(), dtype=float32)","tf.Tensor(0.90661824, shape=(), dtype=float32)"
2,459.51953125,21.9,44.21715188026428,"tf.Tensor(0.89532125, shape=(), dtype=float32)","tf.Tensor(0.90430826, shape=(), dtype=float32)"
3,483.33984375,34.3,43.1620032787323,"tf.Tensor(0.8947324, shape=(), dtype=float32)","tf.Tensor(0.90427244, shape=(), dtype=float32)"
4,507.25,27.4,42.64556837081909,"tf.Tensor(0.89506036, shape=(), dtype=float32)","tf.Tensor(0.904251, shape=(), dtype=float32)"
5,530.1328125,22.5,42.71149158477783,"tf.Tensor(0.8943672, shape=(), dtype=float32)","tf.Tensor(0.9037697, shape=(), dtype=float32)"
6,554.00390625,22.8,42.969688177108765,"tf.Tensor(0.89400685, shape=(), dtype=float32)","tf.Tensor(0.90384054, shape=(), dtype=float32)"
7,574.546875,23.8,42.567193031311035,"tf.Tensor(0.8941364, shape=(), dtype=float32)","tf.Tensor(0.90342975, shape=(), dtype=float32)"
8,599.2421875,22.6,42.603862047195435,"tf.Tensor(0.8938211, shape=(), dtype=float32)","tf.Tensor(0.903354, shape=(), dtype=float32)"
9,623.53125,22.5,42.60093402862549,"tf.Tensor(0.8940992, shape=(), dtype=float32)","tf.Tensor(0.90368193, shape=(), dtype=float32)"
10,649.1328125,23.8,42.48374962806702,"tf.Tensor(0.89392203, shape=(), dtype=float32)","tf.Tensor(0.90327495, shape=(), dtype=float32)"
11,673.0625,22.4,42.59739542007446,"tf.Tensor(0.89485407, shape=(), dtype=float32)","tf.Tensor(0.90459543, shape=(), dtype=float32)"
12,696.8984375,23.0,42.72470498085022,"tf.Tensor(0.8959975, shape=(), dtype=float32)","tf.Tensor(0.9055674, shape=(), dtype=float32)"
13,720.62109375,22.0,42.82575249671936,"tf.Tensor(0.8939702, shape=(), dtype=float32)","tf.Tensor(0.9034887, shape=(), dtype=float32)"
14,743.7421875,23.2,42.792890310287476,"tf.Tensor(0.8938633, shape=(), dtype=float32)","tf.Tensor(0.90352434, shape=(), dtype=float32)"
15,767.4921875,22.1,43.079694747924805,"tf.Tensor(0.8771119, shape=(), dtype=float32)","tf.Tensor(0.8913167, shape=(), dtype=float32)"
16,791.87890625,23.2,42.982675552368164,"tf.Tensor(0.866533, shape=(), dtype=float32)","tf.Tensor(0.8850818, shape=(), dtype=float32)"
17,815.69140625,22.5,42.73174548149109,"tf.Tensor(0.8546076, shape=(), dtype=float32)","tf.Tensor(0.8795239, shape=(), dtype=float32)"
18,839.62890625,22.2,42.42923283576965,"tf.Tensor(0.84735286, shape=(), dtype=float32)","tf.Tensor(0.8774656, shape=(), dtype=float32)"
19,864.76953125,21.9,42.49066758155823,"tf.Tensor(0.8311638, shape=(), dtype=float32)","tf.Tensor(0.8701788, shape=(), dtype=float32)"
20,889.5625,21.4,42.44595909118652,"tf.Tensor(0.81980723, shape=(), dtype=float32)","tf.Tensor(0.86809033, shape=(), dtype=float32)"
21,913.39453125,22.3,42.485554695129395,"tf.Tensor(0.809027, shape=(), dtype=float32)","tf.Tensor(0.86899036, shape=(), dtype=float32)"
22,937.20703125,21.9,42.707075357437134,"tf.Tensor(0.7848498, shape=(), dtype=float32)","tf.Tensor(0.86565137, shape=(), dtype=float32)"
23,961.14453125,23.4,42.624916791915894,"tf.Tensor(0.7681046, shape=(), dtype=float32)","tf.Tensor(0.8659589, shape=(), dtype=float32)"
24,984.015625,23.3,42.50828504562378,"tf.Tensor(0.75262547, shape=(), dtype=float32)","tf.Tensor(0.8697121, shape=(), dtype=float32)"
25,1007.9375,21.5,42.925936460494995,"tf.Tensor(0.73586506, shape=(), dtype=float32)","tf.Tensor(0.8740343, shape=(), dtype=float32)"
26,1032.66796875,22.7,42.53138566017151,"tf.Tensor(0.72517955, shape=(), dtype=float32)","tf.Tensor(0.87889576, shape=(), dtype=float32)"
27,1057.48046875,21.0,42.70195913314819,"tf.Tensor(0.7164571, shape=(), dtype=float32)","tf.Tensor(0.8845352, shape=(), dtype=float32)"
28,1081.359375,23.3,42.817087173461914,"tf.Tensor(0.70563084, shape=(), dtype=float32)","tf.Tensor(0.8872185, shape=(), dtype=float32)"
29,1104.33203125,22.0,42.93949317932129,"tf.Tensor(0.6885322, shape=(), dtype=float32)","tf.Tensor(0.89567727, shape=(), dtype=float32)"
30,1127.55859375,22.1,43.088828325271606,"tf.Tensor(0.67851317, shape=(), dtype=float32)","tf.Tensor(0.905697, shape=(), dtype=float32)"
31,1152.41015625,22.5,43.00764799118042,"tf.Tensor(0.6680624, shape=(), dtype=float32)","tf.Tensor(0.9096678, shape=(), dtype=float32)"
32,1177.375,22.0,42.788118839263916,"tf.Tensor(0.6565715, shape=(), dtype=float32)","tf.Tensor(0.9167529, shape=(), dtype=float32)"
33,1201.58203125,21.3,42.847341537475586,"tf.Tensor(0.6461902, shape=(), dtype=float32)","tf.Tensor(0.92579913, shape=(), dtype=float32)"
34,1224.31640625,22.4,42.86424136161804,"tf.Tensor(0.63596433, shape=(), dtype=float32)","tf.Tensor(0.9297814, shape=(), dtype=float32)"
35,1248.24609375,21.9,43.11277961730957,"tf.Tensor(0.62503654, shape=(), dtype=float32)","tf.Tensor(0.9376399, shape=(), dtype=float32)"
36,1273.734375,22.6,42.47250962257385,"tf.Tensor(0.61472726, shape=(), dtype=float32)","tf.Tensor(0.9460784, shape=(), dtype=float32)"
37,1295.92578125,21.8,51.2098114490509,"tf.Tensor(0.60565275, shape=(), dtype=float32)","tf.Tensor(0.95604837, shape=(), dtype=float32)"
38,1321.2578125,42.0,43.55363440513611,"tf.Tensor(0.59875923, shape=(), dtype=float32)","tf.Tensor(0.95805347, shape=(), dtype=float32)"
39,1346.1328125,28.0,42.343419313430786,"tf.Tensor(0.5924272, shape=(), dtype=float32)","tf.Tensor(0.9640755, shape=(), dtype=float32)"
40,1369.97265625,21.3,42.49412751197815,"tf.Tensor(0.58834124, shape=(), dtype=float32)","tf.Tensor(0.96875244, shape=(), dtype=float32)"
41,1393.875,22.4,42.59646916389465,"tf.Tensor(0.58519745, shape=(), dtype=float32)","tf.Tensor(0.97775173, shape=(), dtype=float32)"
42,1416.93359375,23.6,42.72837042808533,"tf.Tensor(0.58188576, shape=(), dtype=float32)","tf.Tensor(0.982903, shape=(), dtype=float32)"
43,1441.62890625,21.8,42.84567070007324,"tf.Tensor(0.5799329, shape=(), dtype=float32)","tf.Tensor(0.98455095, shape=(), dtype=float32)"
44,1466.609375,23.2,42.938379764556885,"tf.Tensor(0.5751037, shape=(), dtype=float32)","tf.Tensor(0.989288, shape=(), dtype=float32)"
45,1488.7265625,24.0,42.507720708847046,"tf.Tensor(0.5706958, shape=(), dtype=float32)","tf.Tensor(0.99356294, shape=(), dtype=float32)"
46,1512.59765625,22.3,42.59863567352295,"tf.Tensor(0.5666647, shape=(), dtype=float32)","tf.Tensor(1.002664, shape=(), dtype=float32)"
47,1536.46875,22.4,42.44988942146301,"tf.Tensor(0.55679655, shape=(), dtype=float32)","tf.Tensor(1.0026125, shape=(), dtype=float32)"
48,1560.609375,22.6,42.55293917655945,"tf.Tensor(0.55097055, shape=(), dtype=float32)","tf.Tensor(1.0069997, shape=(), dtype=float32)"
49,1585.4453125,23.0,42.53858184814453,"tf.Tensor(0.54467, shape=(), dtype=float32)","tf.Tensor(1.0105835, shape=(), dtype=float32)"
